RepoName,TotalRemain,DrawAllocation,HandlerLeak,Recycle,FloatMath,UseValueOf,UseSparseArrays,ViewHolder
Ideas,0,0,0,0,0,0,0,0
IDontWannaWakeUpLikeCrap,0,0,0,0,0,0,0,0
iforward,6,0,5,0,0,0,0,1
IntranetEpitech,1,0,1,0,0,0,0,0
Inviks1,5,0,0,0,0,3,0,2
IrDude,0,0,0,0,0,0,0,0
iremote,9,3,0,0,2,4,0,0
JoinDOTA,4,0,4,0,0,0,0,0
jumplings,1,0,0,0,1,0,0,0
Kaleidoscope,2,0,0,0,2,0,0,0
KeepInTouch,2,0,0,2,0,0,0,0
KeepScore,4,2,0,1,0,0,0,1
kegs,1,0,1,0,0,0,0,0
KindMind,4,0,0,4,0,0,0,0
Koren,1,0,0,0,0,0,0,1
kouchat-android,1,0,0,0,0,1,0,0
Laboratorio5,1,0,0,0,0,0,1,0
lbm-client,4,0,1,1,1,0,0,1
LcdLiveWallpaper,0,0,0,0,0,0,0,0
learning,2,0,0,1,0,0,1,0
lewica-pl-android,1,0,0,0,0,0,1,0
Lexin,0,0,0,0,0,0,0,0
lfnw,0,0,0,0,0,0,0,0
listmyaps,1,0,0,1,0,0,0,0
LiveViewNotifications,0,0,0,0,0,0,0,0
LockDoc,5,0,0,4,0,0,0,1
LockPic,1,1,0,0,0,0,0,0
LogicalDefence,0,0,0,0,0,0,0,0
lolpingchecker,1,0,1,0,0,0,0,0
Mach-Music-Player,3,0,0,3,0,0,0,0
maniana,0,0,0,0,0,0,0,0
Material-Template,1,1,0,0,0,0,0,0
MedicalScanner,1,0,1,0,0,0,0,0
memo,3,0,1,1,0,0,0,1
Mensa-SH,0,0,0,0,0,0,0,0
message-counter,0,0,0,0,0,0,0,0
messaging,4,1,0,2,0,0,1,0
MilkDiary,5,0,0,0,0,3,2,0
mocos-controlator,2,0,0,2,0,0,0,0
MongoExplorer,1,0,0,1,0,0,0,0
Mood-Player,3,0,3,0,0,0,0,0
Moticons,0,0,0,0,0,0,0,0
mounts2sd,2,0,0,0,0,0,2,0
MPC,0,0,0,0,0,0,0,0
MSMBle,3,0,0,0,0,0,0,3
mst,20,1,0,14,0,0,2,3
MtGoxWidget,2,0,0,0,0,0,2,0
MultiWii_EZ_GUI,7,4,1,0,0,0,1,1
Mustard-Mod,6,0,5,0,0,1,0,0
My-Cashbook,2,0,0,1,0,0,0,1
MyEarnings,6,6,0,0,0,0,0,0
mysoftwareprojects,1,0,0,0,0,0,0,1
myspeedtest-old,1,0,1,0,0,0,0,0
n-puzzle-2,1,0,0,0,0,0,0,1
nanoConverter,7,0,7,0,0,0,0,0
ngobrol,3,0,0,0,0,0,0,3
NinjaLeanJapanese,3,1,0,2,0,0,0,0
noodlesmaster,8,4,1,0,0,0,2,1
NoTauLabsNag,5,1,0,2,0,0,2,0
notification-check,1,0,0,0,0,0,0,1
Now,0,0,0,0,0,0,0,0
NumberNDate,1,0,0,1,0,0,0,0
Odnako,0,0,0,0,0,0,0,0
OHSCompSciClubPixelDungeon,0,0,0,0,0,0,0,0
omi_Android,0,0,0,0,0,0,0,0
OpenCamera,49,0,2,1,0,0,46,0
opencomicreader,3,0,1,2,0,0,0,0
OpenDocument.droid,0,0,0,0,0,0,0,0
opentraining,4,0,0,1,0,0,3,0
org.numixproject.hermes,11,0,0,0,0,0,6,5
OSRSHelper,1,0,0,0,1,0,0,0
paco,10,0,0,1,0,8,1,0
PainLog,1,0,0,1,0,0,0,0
palabras,1,0,0,0,0,1,0,0
paragliding-site,2,0,0,0,0,2,0,0
parkjam,43,0,0,0,0,43,0,0
pattern,0,0,0,0,0,0,0,0
PDFViewer,3,1,0,2,0,0,0,0
peixe-android,2,0,2,0,0,0,0,0
PersianDarwinWallet,2,0,1,0,0,0,1,0
pile-on,1,1,0,0,0,0,0,0
PinholeCalculator,2,0,0,0,0,2,0,0
PinterestLikeAdapterView,0,0,0,0,0,0,0,0
Pixelesque,6,3,0,0,0,1,2,0
plasma,0,0,0,0,0,0,0,0
PlasmaSound,4,0,0,0,0,4,0,0
pMetro,3,2,1,0,0,0,0,0
portal-timer,1,0,1,0,0,0,0,0
Primary-Notifications,0,0,0,0,0,0,0,0
princess-coloring-book-hd-android,1,1,0,0,0,0,0,0
proxydroid,0,0,0,0,0,0,0,0
QiitaReader,4,0,4,0,0,0,0,0
QuizApp_Android,5,0,0,0,0,0,5,0
Raspberry-Bus-Malaysia,0,0,0,0,0,0,0,0
rdn-wallpaper,3,1,0,2,0,0,0,0
RealCube,0,0,0,0,0,0,0,0
red-sea-tools,1,0,0,0,0,0,0,1
red-vs-green,0,0,0,0,0,0,0,0
redbus,18,0,0,0,0,16,2,0
RedReader,1,0,0,0,0,0,1,0
remotekeyboard,9,0,0,1,0,8,0,0
Rezzo,7,0,0,0,0,7,0,0
rftg-scorer,0,0,0,0,0,0,0,0
Ring-Message,4,0,0,4,0,0,0,0
ringdroid,0,0,0,0,0,0,0,0
risteilyohjelma14,1,1,0,0,0,0,0,0
RK3066-Headunit-service,2,0,1,0,0,0,0,1
robotfindskitten,0,0,0,0,0,0,0,0
RoyalEnfieldFT,1,0,0,1,0,0,0,0
rss-reader,1,0,0,0,0,1,0,0
S-Tools,10,0,0,0,0,2,7,1
sahara,3,0,0,0,0,0,3,0
SAMPApp,3,0,0,3,0,0,0,0
SensorMax,1,0,1,0,0,0,0,0
SerialBTControl,1,0,1,0,0,0,0,0
shoppinglist-android,2,0,0,1,0,0,0,1
sigfood,0,0,0,0,0,0,0,0
sikuna,1,0,1,0,0,0,0,0
simple-android-CPU-usage-viewer,0,0,0,0,0,0,0,0
Simple-C25K,2,0,1,0,0,0,0,1
SimpleBitcoinWidget,0,0,0,0,0,0,0,0
singkamas,1,0,0,0,0,0,1,0
sipdroid,2,0,0,0,0,0,2,0
Sketcher-Tab,1,1,0,0,0,0,0,0
SliderSynth,1,0,0,0,0,0,1,0
sms-trial,3,0,0,0,0,1,1,1
smsnenado,0,0,0,0,0,0,0,0
SSPIA,11,0,0,6,0,0,0,5
StackFlairWidget,0,0,0,0,0,0,0,0
StorageWidget,0,0,0,0,0,0,0,0
StreetCrimes,0,0,0,0,0,0,0,0
Studiportal-Checker,0,0,0,0,0,0,0,0
suprabhatham-android-app,2,0,0,2,0,0,0,0
swiftp,1,0,0,0,0,1,0,0
talking-james,3,3,0,0,0,0,0,0
tappy,1,0,0,0,0,1,0,0
tatala,0,0,0,0,0,0,0,0
tech-mail_schedule,0,0,0,0,0,0,0,0
Ted,0,0,0,0,0,0,0,0
TGFC,1,0,0,0,0,0,1,0
tickmate,5,0,0,0,0,0,5,0
timelapse-sony,1,0,1,0,0,0,0,0
Timer,8,5,0,0,0,0,2,1
timidity-ae,0,0,0,0,0,0,0,0
TintBrowser,9,0,3,6,0,0,0,0
TireSize,1,0,0,0,0,0,0,1
ToDo-List-Widget,2,1,0,0,0,0,1,0
TournamentDesigner,40,0,0,34,0,0,0,6
TrackMap,0,0,0,0,0,0,0,0
transport-mtl,4,4,0,0,0,0,0,0
Traxi,3,0,1,0,0,0,0,2
Trendy,0,0,0,0,0,0,0,0
Triforce,1,0,0,1,0,0,0,0
TripCard,0,0,0,0,0,0,0,0
TripTrack,0,0,0,0,0,0,0,0
tsp-lexikon-android,0,0,0,0,0,0,0,0
tuberun_android,14,0,0,11,0,0,3,0
Tug,1,0,0,1,0,0,0,0
Tweet-Offline,1,0,0,1,0,0,0,0
UFrame,14,9,0,0,5,0,0,0
UkeWatch,0,0,0,0,0,0,0,0
Under-the-Hood---Android,1,0,1,0,0,0,0,0
vegdroid,1,0,0,0,0,0,1,0
VNCpp,4,0,0,4,0,0,0,0
WebIntents,0,0,0,0,0,0,0,0
WhatSongIsItAnyway,6,0,0,6,0,0,0,0
where-is-my-cash,3,0,0,3,0,0,0,0
WhoochooAdvSms,4,0,2,2,0,0,0,0
Wifi-Key-Recovery---Android,1,0,1,0,0,0,0,0
wizard-maker-android,2,0,0,0,0,1,0,1
wmg-android,0,0,0,0,0,0,0,0
workpage,23,0,0,19,0,0,0,4
workschedule,1,0,0,1,0,0,0,0
writeily,2,0,0,0,0,0,0,2
Yaaic,4,0,0,0,0,0,4,0
YANA,2,0,0,0,1,0,0,1
Zom-Android,21,0,5,14,0,0,2,0
ZShaolin,14,1,0,0,0,12,0,1
