UNIQUE_ID,REPONAME,ISSUE_TYPE,FILE_PATH,LINT_MSG,LHDIFF_LINE_TRACING,START_COMMIT_ID,START_COMMIT_MSG,START_COMMIT_TIMESTAMP,END_COMMIT_ID,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP,CATEOGARY,ISSUE_STATUS,ISSUE_SURVIVED_TIME
802265,zom/Zom-Android,HandlerLeak,src/info/guardianproject/otr/app/im/app/AccountActivity.java,This Handler class should be static or leaks might occur (anonymous android.os.Handler),[1055]private Handler handler = new Handler() { ->DEL,94cedb8,updating project files,1332740708,ef7abfc,improve cursor handling in contacts picker,1403804289,ad601ebe,remove un-used regen key UI from this activity,1403804310,Customization,0,71063602
800273,matthill/darwinwallet,UseSparseArrays,src/com/ndu/mobile/darwinwallet/BillRecognizerActivity.java,Use new SparseIntArray(...) instead for better performance,[169]soundPool = new SoundPool(4 AudioManager.STREAM_MUSIC 100); ->[128]soundPool = new SoundPool(4 AudioManager.STREAM_MUSIC 100);,6bec7e6,First commit,1328997299,75b2f39,Updated Readme,1350052488,5b6972b,added russian translation and belarussian money support,1400008853,Productivity,0,71011554
800280,dnizetic/file-explorer-android,ViewHolder,src/com/landa/adapter/OperationsAdapter.java,Unconditional layout inflation from view adapter: Should use View Holder pattern (use recycled view passed into this method as the second parameter) for smoother scrolling,[33]View rowView = inflater.inflate(R.layout.operations_list_item parent false); ->[33]View rowView = inflater.inflate(R.layout.operations_list_item parent false);,b7f86c6,First commit,1361931982,9294b79,Update to latest version.,1432174053,5983447,Create README.md,1432174468,Productivity,0,70242486
800283,dnizetic/file-explorer-android,ViewHolder,src/com/landa/adapter/HiddenFilesListAdapter.java,Unconditional layout inflation from view adapter: Should use View Holder pattern (use recycled view passed into this method as the second parameter) for smoother scrolling,[35]View rowView = inflater.inflate(R.layout.list_row parent false); ->[35]View rowView = inflater.inflate(R.layout.list_row parent false);,b7f86c6,First commit,1361931982,9294b79,Update to latest version.,1432174053,5983447,Create README.md,1432174468,Productivity,0,70242486
810283,dnizetic/file-explorer-android,ViewHolder,src/com/landa/adapter/DialogFileListAdapter.java,Unconditional layout inflation from view adapter: Should use View Holder pattern (use recycled view passed into this method as the second parameter) for smoother scrolling,[33]View rowView = inflater.inflate(R.layout.history_dialog_list_row ->[33]View rowView = inflater.inflate(R.layout.history_dialog_list_row,b7f86c6,First commit,1361931982,9294b79,Update to latest version.,1432174053,5983447,Create README.md,1432174468,Productivity,0,70242486
801445,ToYonos/hfr4droid,UseSparseArrays,hfr4droid/src/info/toyonos/hfr4droid/activity/HFR4droidActivity.java,Use new SparseArray<List<Post>>(...) instead for better performance,"[266]httpClient.getParams().setParameter(""http.socket.timeout"" new Integer(90000)); // 90 second ->[266]httpClient.getParams().setParameter(""http.socket.timeout"" new Integer(90000)); // 90 second",1524d9b,Merge branche de dev toyo + bug suppression post quand edit?? et/ou quot??,1288891248,135293b,"Issue #114 Encodage dans fen?¬tre ""?á propos""",1358029717,3da3653,Version 0.7.3,1358030366,Social,0,69139118
802306,zom/Zom-Android,HandlerLeak,src/info/guardianproject/otr/app/im/app/NewChatActivity.java,This Handler class should be static or leaks might occur (anonymous android.os.Handler),[1871]{                             ->[1871]{,2685a4e,multiple fixes for new account flow - userpresence view now updates when connection changes - new settings... sign in/out switch on account list screen - added 'remove account' button to accountactivity settings - improved handling of vcard loading... and avatar performance,1374769663,76cf47f,"remove unused passphrase_view.xml It had errors with duplicate element IDs i.e. android:id=""TableRow01""",1443217607,9b6666f,remove duplicate and unused android:id,1443217607,Customization,0,68447944
801536,matyo91/ChinesePuzzle,UseSparseArrays,Android/Project/android/src/org/cocos2dx/lib/Cocos2dxSound.java,Use new SparseIntArray(...) instead for better performance,[231]this.mSoundIdStreamIdMap = new HashMap<IntegerInteger>(); ->[231]this.mSoundIdStreamIdMap = new HashMap<IntegerInteger>();,5027058,android project,1324593519,3fe3ea4,grunt,1392826882,76a1504,android,1392827993,Games,0,68234474
800270,mchow01/FingerDoodle,DrawAllocation,src/edu/cs/tufts/mchow/FingerDoodleView.java,Avoid object allocations during draw/layout operations (preallocate and reuse instead),[67]Paint backgroundPaint = new Paint(); ->[67]Paint backgroundPaint = new Paint();,9b37ab0,First commit... sad to say,1297656879,6c8c599,Integrated Crashlytics,1361768052,15c6432,Fixed NullPointerException at FingerDoodleView.java line 67 edu.cs.tufts.mchow.FingerDoodleView.onDraw,1363808249,Tools,0,66151370
801881,jongha/android-ipchecker,HandlerLeak,src/com/libsac/ipchecker/MainActivity.java,This Handler class should be static or leaks might occur (anonymous android.os.Handler),[60]private Handler handler = new Handler() { ->[60]private Handler handler = new Handler() {,d68e1fb,create project,1368363302,7bce06f,Update README.md,1399734011,10466da,Update project to Android Studio and change app icon.,1434512001,Tools,0,66148699
