UNIQUE_ID,REPONAME,ISSUE_TYPE,FILE_PATH,LINT_MSG,LHDIFF_LINE_TRACING,START_COMMIT_ID,START_COMMIT_MSG,START_COMMIT_TIMESTAMP,END_COMMIT_ID,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP,CATEOGARY,ISSUE_STATUS,ISSUE_SURVIVED_TIME,DEDICATED_RESOLUTION,NO_OF_LINES_CHANGED
801588,byterom/android_external_whispersystems_TextSecure,UseValueOf,src/org/thoughtcrime/securesms/database/ThreadDatabase.java,Use Long.valueOf(DatabaseFactory.getAddressDatabase(context).getCanonicalAddress(number)) instead,[65]recipientSet.add(new Long(DatabaseFactory.getAddressDatabase(context).getCanonicalAddress(number))); ->[65]recipientSet.add(new Long(DatabaseFactory.getAddressDatabase(context).getCanonicalAddress(number)));,bbea3fe,Initial Project Import,1324405244,d102bd0,Transifex Schema,1347227464,3d3db42,Lint warning changes.,1347232246,Communication,0,22827002,1,130
801589,byterom/android_external_whispersystems_TextSecure,UseValueOf,src/org/thoughtcrime/securesms/database/SmsDatabase.java,Use Long.valueOf(System.currentTimeMillis()) instead,[88]values.put(DATE new Long(System.currentTimeMillis())); ->[88]values.put(DATE new Long(System.currentTimeMillis()));,bbea3fe,Initial Project Import,1324405244,d102bd0,Transifex Schema,1347227464,3d3db42,Lint warning changes.,1347232246,Communication,0,22827002,1,148
801590,byterom/android_external_whispersystems_TextSecure,UseValueOf,src/org/thoughtcrime/securesms/sms/MultipartMessageHandler.java,Use Integer.valueOf((currentId.intValue() + 1) % 255) instead,[180]idMap.put(recipient new Integer((currentId.intValue() + 1) % 255)); ->[180]idMap.put(recipient new Integer((currentId.intValue() + 1) % 255));,bbea3fe,Initial Project Import,1324405244,d102bd0,Transifex Schema,1347227464,3d3db42,Lint warning changes.,1347232246,Communication,0,22827002,1,119
801591,byterom/android_external_whispersystems_TextSecure,UseValueOf,src/org/thoughtcrime/securesms/sms/MultipartMessageHandler.java,Use Integer.valueOf(0) instead,[176]currentId = new Integer(0);    ->[176]currentId = new Integer(0);,bbea3fe,Initial Project Import,1324405244,d102bd0,Transifex Schema,1347227464,3d3db42,Lint warning changes.,1347232246,Communication,0,22827002,1,119
801592,byterom/android_external_whispersystems_TextSecure,UseValueOf,src/org/thoughtcrime/securesms/contacts/ContactAccessorNewApi.java,Use Long.valueOf(cursor.getLong(0)) instead,[188]rawContactIds.add(new Long(cursor.getLong(0))); ->[188]rawContactIds.add(new Long(cursor.getLong(0)));,bbea3fe,Initial Project Import,1324405244,d102bd0,Transifex Schema,1347227464,3d3db42,Lint warning changes.,1347232246,Communication,0,22827002,1,2
801593,byterom/android_external_whispersystems_TextSecure,UseValueOf,src/org/thoughtcrime/securesms/database/CanonicalAddressDatabase.java,Use Long.valueOf(addressCache.get(address)) instead,[122]return new Long(addressCache.get(address)); ->[122]return new Long(addressCache.get(address));,bbea3fe,Initial Project Import,1324405244,d102bd0,Transifex Schema,1347227464,3d3db42,Lint warning changes.,1347232246,Communication,0,22827002,1,2
801604,Odoo-mobile/messaging,Recycle,src/com/openerp/orm/ORM.java,This Cursor should be freed up after use with #close(),[1318]Cursor cursor = dbHelper.query(modelToTable(db.getModelName()) ->[1318]Cursor cursor = dbHelper.query(modelToTable(db.getModelName()),4312662,[ADD]: INIT Projecty,1377608595,2a97712,[ADD] add about company details,1378882548,c61d668,[IMP] improved code in ORM for handle many2many and many2one record sync with server (Performance improved),1378899086,Business,0,1290491,0,28
801606,Odoo-mobile/messaging,UseSparseArrays,src/com/openerp/addons/messages/Message.java,Use new SparseIntArray(...) instead for better performance,[331]@Override                      ->[848]@Override,4312662,[ADD]: INIT Projecty,1377608595,e4d956a,[IMP] swipe library and method name updates,1390900376,87b89f9,[IMP] Improved performance of Message module. Code improved. Starred... make (un)read improved,1391173853,Business,0,13565258,0,1313
801607,Odoo-mobile/messaging,UseSparseArrays,src/com/openerp/addons/messages/Message.java,Use new SparseBooleanArray(...) instead for better performance,[308]// Setting multi choice selection listener ->DEL,4312662,[ADD]: INIT Projecty,1377608595,e4d956a,[IMP] swipe library and method name updates,1390900376,87b89f9,[IMP] Improved performance of Message module. Code improved. Starred... make (un)read improved,1391173853,Business,0,13565258,0,1313
801856,shlusiak/Freebloks-Android,Recycle,src/de/saschahlusiak/freebloks/game/FreebloksActivity.java,This Parcel should be recycled after use with #recycle(),[561]Parcel p = Parcel.obtain();    ->[561]Parcel p = Parcel.obtain();,6bb4d7b,first... rough resume support,1356441469,18d59c7,lobby: auto fit colorGrid columns in portrait mode... prettier 2 player 2 color mode,1374582913,ec65540,fix lint warnings,1374584320,Games,0,18142851,1,4
