RepositoryGitHubName,RepositoryShortName,App,Source,Commits,AppFolder,JavaFiles,xmlFiles,Cfiles,Hfiles,PYFiles,JSFiles,LinesOfCodesJava,Contributors,FilteredPerformance,StartTimestamp,EndTimestamp,Install,Category,Release
omo/hiccup,hiccup,es.flakiness.hiccup,G,87,app/src/main/,40,17,0,0,0,0,2265,1,0,1417213771,1431298597, 100-500 ,Education,0
DWoodhouse22/StreetCrimes,StreetCrimes,com.dwoodhouse.streetcrimes,G,59,/,14,14,0,0,0,0,1774,1,0,1404753563,1411926780, 500-1000 ,Books & Reference,0
pramodmg/Clime-TheWeatherApplication,Clime-TheWeatherApplication,com.app.weather&amp,G,51,platforms/android/,93,12,0,2,0,78,21534,2,0,1402921517,1421992373, 100-500 ,Weather,0
Simon-Raes/Sudoku-Solver,Sudoku-Solver,be.simonraes.sudokusolver,G,21,/,20,35,0,0,0,0,2146,1,1,1406403303,1411407892, 10-50 ,Tools,0
herverenault/DirectDictaphone,DirectDictaphone,fr.herverenault.directdictaphone,G,20,/,4,21,0,0,0,0,841,1,0,1420109006,1445089004, 10000-50000 ,Productivity,7
nicopace/congress-mobile,congress-mobile,com.unixono.conference.slyes2014,G,32,conference-mobile-app/platforms/android/,94,10,0,0,0,56,21750,1,0,1406061033,1409321748, 10-50 ,Health and Fitness,0
trakos/iron-clouds,iron-clouds,pl.trakos.ironClouds.android,G,34,Android/,4,5,0,0,0,0,43,1,0,1384058557,1407867214, 1000-5000 ,Games,0
mohaxspb/Odnako,Odnako,ru.kuchanov.odnako,G,364,/,131,123,0,0,0,0,42226,1,1,1412766810,1443263677, 10000-50000 ,News & Magazines,2
tnvkrishna/CowsNBulls,CowsNBulls,com.vamsi.cowsnbulls,G,18,/,14,25,0,0,0,0,991,2,0,1421757520,1443240533, 1-5 ,Games,0
sasuomi/risteilyohjelma14,risteilyohjelma14,org.jouluristeily.risteilyohjelma14,G,49,/,16,57,0,0,0,0,2852,1,0,1408294610,1439362312, 500-1000 ,Travel & Local,0
grigory51/tech-mail_schedule,tech-mail_schedule,ru.mail.tp.schedule,G,167,schedule/src/main/,34,13,0,0,0,0,2512,1,0,1404459984,1441507660, 100-500 ,Tools,6
abhinavabcd/QuizApp_Android,QuizApp_Android,com.quizapp.tollywood,G,383,app/src/main/,104,74,0,0,0,0,18592,1,5,1407993189,1437662988, 100-500 ,Games,0
Infernux/Projects,Projects,com.OrkCreation.Ork,G,23,Java/Android/TweetCake/,12,21,0,0,0,0,2121,1,0,1409154893,1411671042, 1000-5000 ,Customization,0
Conorbro/Biology,Biology,com.cb.leavingcertbiologyquiz,G,32,/,9,19,0,0,0,0,2318,1,1,1405255979,1424883424, 1000-5000 ,Education,0
