UNIQUE_ID,REPONAME,ISSUE_TYPE,FILE_PATH,LINT_MSG,LHDIFF_LINE_TRACING,START_COMMIT_ID,START_COMMIT_MSG,START_COMMIT_TIMESTAMP,END_COMMIT_ID,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP,CATEOGARY,STATUS
800023,ryanamaral/android-quill,FloatMath,src/name/vbraun/view/write/Stroke.java,Use java.lang.Math#sqrt instead of android.util.FloatMath#sqrt() since it is faster as of API 8,[393]norm = FloatMath.sqrt(vx21*vx21 + vy21*vy21 + 0.0001f) * 2f; ->[393]norm = FloatMath.sqrt(vx21*vx21 + vy21*vy21 + 0.0001f) * 2f;,38a85a8,Bezier curves for drawing strokes,1365784950,0bb93d5,fix README paths,1428873105,na,na,na,Productivity,1
800024,ryanamaral/android-quill,FloatMath,src/name/vbraun/view/write/Stroke.java,Use java.lang.Math#sqrt instead of android.util.FloatMath#sqrt() since it is faster as of API 8,[363]norm = FloatMath.sqrt(vx21*vx21 + vy21*vy21 + 0.0001f) * 2f; ->[363]norm = FloatMath.sqrt(vx21*vx21 + vy21*vy21 + 0.0001f) * 2f;,38a85a8,Bezier curves for drawing strokes,1365784950,0bb93d5,fix README paths,1428873105,na,na,na,Productivity,1
800025,ryanamaral/android-quill,FloatMath,src/name/vbraun/view/write/Stroke.java,Use java.lang.Math#sqrt instead of android.util.FloatMath#sqrt() since it is faster as of API 8,[348]norm = FloatMath.sqrt(vx01*vx01 + vy01*vy01 + 0.0001f) * 2f; ->[348]norm = FloatMath.sqrt(vx01*vx01 + vy01*vy01 + 0.0001f) * 2f;,38a85a8,Bezier curves for drawing strokes,1365784950,0bb93d5,fix README paths,1428873105,na,na,na,Productivity,1
800026,ryanamaral/android-quill,FloatMath,src/name/vbraun/view/write/Stroke.java,Use java.lang.Math#sqrt instead of android.util.FloatMath#sqrt() since it is faster as of API 8,[806]norm = FloatMath.sqrt(vx21*vx21 + vy21*vy21 + 0.0000001f) * 2f; ->[806]norm = FloatMath.sqrt(vx21*vx21 + vy21*vy21 + 0.0000001f) * 2f;,705acd3,Also use Bezier curves for PDF export,1378155826,0bb93d5,fix README paths,1428873105,na,na,na,Productivity,1
800027,ryanamaral/android-quill,FloatMath,src/name/vbraun/view/write/Stroke.java,Use java.lang.Math#sqrt instead of android.util.FloatMath#sqrt() since it is faster as of API 8,[777]norm = FloatMath.sqrt(vx21*vx21 + vy21*vy21 + 0.0000001f) * 2f; ->[777]norm = FloatMath.sqrt(vx21*vx21 + vy21*vy21 + 0.0000001f) * 2f;,705acd3,Also use Bezier curves for PDF export,1378155826,0bb93d5,fix README paths,1428873105,na,na,na,Productivity,1
800028,ryanamaral/android-quill,FloatMath,src/name/vbraun/view/write/Stroke.java,Use java.lang.Math#sqrt instead of android.util.FloatMath#sqrt() since it is faster as of API 8,[762]norm = FloatMath.sqrt(vx01*vx01 + vy01*vy01 + 0.0000001f) * 2f; ->[762]norm = FloatMath.sqrt(vx01*vx01 + vy01*vy01 + 0.0000001f) * 2f;,705acd3,Also use Bezier curves for PDF export,1378155826,0bb93d5,fix README paths,1428873105,na,na,na,Productivity,1
800029,ryanamaral/android-quill,FloatMath,src/name/vbraun/view/write/GraphicsImage.java,Use java.lang.Math#sqrt instead of android.util.FloatMath#sqrt() since it is faster as of API 8,[400]sqrtAspect = FloatMath.sqrt((float)width / (float)height); ->[400]sqrtAspect = FloatMath.sqrt((float)width / (float)height);,c53639d,preserve aspect ratio for images,1341597893,0bb93d5,fix README paths,1428873105,na,na,na,Productivity,1
800030,ryanamaral/android-quill,UseValueOf,src/tool/debug/MemDebug.java,Use Double.valueOf(Runtime.getRuntime().totalMemory() / 1048576) instead,"[21]Log.d(TAG ""debug.memory: allocated: "" + df.format(new Double(Runtime.getRuntime().totalMemory()/1048576)) + ""MB of "" + df.format(new Double(Runtime.getRuntime().maxMemory()/1048576))+ ""MB ("" + df.format(new Double(Runtime.getRuntime().freeMemory()/1048576)) +""MB free)""); ->[21]Log.d(TAG ""debug.memory: allocated: "" + df.format(new Double(Runtime.getRuntime().totalMemory()/1048576)) + ""MB of "" + df.format(new Double(Runtime.getRuntime().maxMemory()/1048576))+ ""MB ("" + df.format(new Double(Runtime.getRuntime().freeMemory()/1048576)) +""MB free)"");",5ae068e,Added MemDebug class,1322828310,0bb93d5,fix README paths,1428873105,na,na,na,Productivity,1
800031,ryanamaral/android-quill,UseValueOf,src/tool/debug/MemDebug.java,Use Double.valueOf(Runtime.getRuntime().maxMemory() / 1048576) instead,"[21]Log.d(TAG ""debug.memory: allocated: "" + df.format(new Double(Runtime.getRuntime().totalMemory()/1048576)) + ""MB of "" + df.format(new Double(Runtime.getRuntime().maxMemory()/1048576))+ ""MB ("" + df.format(new Double(Runtime.getRuntime().freeMemory()/1048576)) +""MB free)""); ->[21]Log.d(TAG ""debug.memory: allocated: "" + df.format(new Double(Runtime.getRuntime().totalMemory()/1048576)) + ""MB of "" + df.format(new Double(Runtime.getRuntime().maxMemory()/1048576))+ ""MB ("" + df.format(new Double(Runtime.getRuntime().freeMemory()/1048576)) +""MB free)"");",5ae068e,Added MemDebug class,1322828310,0bb93d5,fix README paths,1428873105,na,na,na,Productivity,1
800032,ryanamaral/android-quill,UseValueOf,src/tool/debug/MemDebug.java,Use Double.valueOf(Runtime.getRuntime().freeMemory() / 1048576) instead,"[21]Log.d(TAG ""debug.memory: allocated: "" + df.format(new Double(Runtime.getRuntime().totalMemory()/1048576)) + ""MB of "" + df.format(new Double(Runtime.getRuntime().maxMemory()/1048576))+ ""MB ("" + df.format(new Double(Runtime.getRuntime().freeMemory()/1048576)) +""MB free)""); ->[21]Log.d(TAG ""debug.memory: allocated: "" + df.format(new Double(Runtime.getRuntime().totalMemory()/1048576)) + ""MB of "" + df.format(new Double(Runtime.getRuntime().maxMemory()/1048576))+ ""MB ("" + df.format(new Double(Runtime.getRuntime().freeMemory()/1048576)) +""MB free)"");",5ae068e,Added MemDebug class,1322828310,0bb93d5,fix README paths,1428873105,na,na,na,Productivity,1
