Repository,App
https://github.com/connectbot/connectbot.git,https://play.google.com/store/apps/details?id=org.connectbot
https://github.com/k9mail/k-9.git,https://play.google.com/store/apps/details?id=com.fsck.k9
https://github.com/i-p-tel/sipdroid.git,https://play.google.com/store/apps/details?id=org.sipdroid.sipua
https://github.com/wordpress-mobile/WordPress-Android.git,https://play.google.com/store/apps/details?id=org.wordpress.android
https://github.com/thialfihar/apg.git,https://play.google.com/store/apps/details?id=org.thialfihar.android.apg
https://github.com/siacs/Conversations.git,https://play.google.com/store/apps/details?id=eu.siacs.conversations
https://github.com/WhisperSystems/Signal-Android.git,https://play.google.com/store/apps/details?id=org.thoughtcrime.securesms
https://github.com/mupen64plus-ae/mupen64plus-ae.git,https://play.google.com/store/apps/details?id=paulscode.android.mupen64plus
https://github.com/openMSX/openMSX.git,https://play.google.com/store/apps/details?id=org.openmsx.android.openmsx
https://github.com/hrydgard/ppsspp.git,https://play.google.com/store/apps/details?id=org.ppsspp.ppsspp
https://github.com/libretro/RetroArch.git,https://play.google.com/store/apps/details?id=com.retroarch
https://github.com/uberspot/2048-android.git,https://play.google.com/store/apps/details?id=com.uberspot.a2048
https://github.com/zielmicha/freeciv-android.git,https://play.google.com/store/apps/details?id=pl.org.zielinscy.freeciv
https://github.com/Chluverman/android-gltron.git,https://play.google.com/store/apps/details?id=com.glTron
https://github.com/chrisboyle/sgtpuzzles.git,https://play.google.com/store/apps/details?id=name.boyle.chris.sgtpuzzles
https://github.com/BOINC/boinc.git,https://play.google.com/store/apps/details?id=edu.berkeley.boinc
https://github.com/murraycu/android-galaxyzoo.git,https://play.google.com/store/apps/details?id=com.murrayc.galaxyzoo.app
https://github.com/owncloud/android,https://play.google.com/store/apps/details?id=com.owncloud.android
https://github.com/Cbsoftware/pressureNET.git,https://play.google.com/store/apps/details?id=ca.cumulonimbus.barometernetwork
https://github.com/sagemath/android.git,https://play.google.com/store/apps/details?id=org.sagemath.droid
https://github.com/llaske/sugarizer.git,https://play.google.com/store/apps/details?id=org.olpc_france.sugarizer
https://github.com/whitehouse/wh-app-android.git,https://play.google.com/store/apps/details?id=gov.whitehouse
https://github.com/apps4av/avare.git,https://play.google.com/store/apps/details?id=com.ds.avare
https://github.com/mapsme/omim.git,https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro
https://github.com/osmandapp/Osmand.git,https://play.google.com/store/apps/details?id=net.osmand
https://github.com/duckduckgo/android.git,https://play.google.com/store/apps/details?id=com.duckduckgo.mobile.android
https://github.com/geometer/FBReaderJ.git,https://play.google.com/store/apps/details?id=org.geometerplus.zlibrary.ui.android
https://github.com/wikimedia/WikipediaMobile.git,https://play.google.com/store/apps/details?id=org.wikipedia
https://github.com/zxing/zxing.git,https://play.google.com/store/apps/details?id=com.google.zxing.client.android
https://github.com/antennapod/AntennaPod.git,https://play.google.com/store/apps/details?id=de.danoeh.antennapod
https://github.com/xbmc/xbmc.git,https://play.google.com/store/apps/details?id=org.xbmc.kodi
https://github.com/google/ringdroid.git,https://play.google.com/store/apps/details?id=com.ringdroid
https://github.com/Tribler/tribler.git,https://play.google.com/store/apps/details?id=org.tribler.mobile
https://github.com/bpellin/keepassdroid.git,https://play.google.com/store/apps/details?id=com.android.keepass
https://github.com/prey/prey-android-client.git,https://play.google.com/store/apps/details?id=com.prey
